file_name,download_folder,prefix,download_name,file_type,2022,2019,2016,2013,2010,2007,2004,processing_function
Turnout by state,Downloads,House,TurnoutByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Turnout by division,Downloads,House,TurnoutByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Votes by state,Downloads,House,VotesCountedByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Votes by division,Downloads,House,VotesCountedByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Declaration votes issued by state,Downloads,General,DecVotesIssuedByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Declaration votes issued by division,Downloads,General,DecVotesIssuedByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Declaration votes received by state,Downloads,General,DecVotesReceivedByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Declaration votes received by division,Downloads,General,DecVotesReceivedByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Polling places,Downloads,General,PollingPlaces,.csv,Y,Y,Y,Y,Y,Y,Y,TBC
National list of candidates,Downloads,Senate,Candidates,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Senators elected,Downloads,Senate,SenatorsElected,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Nominations by state,Downloads,Senate,NominationsByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Nominations by gender,Downloads,Senate,NominationsByGender,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Party representation,Downloads,Senate,PartyRepresentation,.csv,Y,Y,Y,Y,Y,Y,Y,NA
First preferences by state by vote type,Downloads,Senate,FirstPrefsByStateByVoteType,.csv,Y,Y,Y,Y,Y,Y,Y,process_first_state_vote
First preferences by division by vote type,Downloads,Senate,FirstPrefsByDivisionByVoteType,.csv,Y,Y,Y,Y,Y,Y,Y,process_first_div_vote
First preferences by group by vote type,Downloads,Senate,FirstPrefsByGroupByVoteType,.csv,Y,Y,Y,Y,Y,Y,Y,process_first_group_vote
First preferences by state by group by vote type,Downloads,Senate,FirstPrefsByStateByGroupByVoteType,.csv,Y,Y,Y,Y,Y,Y,Y,process_first_state_group_vote
Informal votes by state,Downloads,Senate,InformalByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Informal votes by division,Downloads,Senate,InformalByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Turnout by state,Downloads,Senate,TurnoutByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Turnout by division,Downloads,Senate,TurnoutByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Votes by state,Downloads,Senate,VotesCountedByState,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Votes by division,Downloads,Senate,VotesCountedByDivision,.csv,Y,Y,Y,Y,Y,Y,Y,NA
Votes by SA1,Elections,General,,.csv,Y,Y,Y,Y,Y,Y,Y,
Pre-poll votes,Elections,General,,.csv,Y,Y,Y,Y,Y,Y,Y,
Postal vote applications,Elections,General,,.csv,Y,Y,Y,Y,Y,Y,Y,
